e0v0,e0v1,e1v0,e1v1
9,8,,
5,10,,
101,14,,
83,18,,
33,27,,
80,48,,
70,56,,
56,57,,
60,61,,
75,76,,
54,78,,
20,83,,
92,94,,
38,95,,
28,99,,
32,21,,
82,24,,
40,82,,
31,45,,
75,52,,
72,73,,
56,66,,
48,74,,
47,50,,
93,80,,
29,85,,
19,15,,
109,5,,
9,108,,
44,103,,
44,51,,
59,68,,
76,67,,
74,58,,
47,54,,
82,81,,
16,29,,
48,40,,
88,84,,
14,89,,
22,19,,
6,4,,
4,102,,
15,3,,
21,109,,
108,110,,
6,111,,
37,26,,
7,9,87,174
33,34,43,130
41,36,102,7
43,37,117,33
42,41,107,102
115,116,175,176
112,114,26,27
87,88,69,154
44,92,118,119
53,70,123,58
16,25,146,67
101,6,39,36
23,12,156,74
112,113,26,24
23,105,156,75
28,93,129,131
115,43,175,117
46,79,31,112
70,55,58,135
60,63,8,91
59,64,122,53
46,69,31,110
39,77,46,134
36,35,7,98
105,104,75,72
90,49,68,155
44,38,118,120
37,44,33,118
92,97,119,142
32,23,42,156
92,32,119,42
88,30,154,148
31,33,35,43
92,31,119,35
20,13,60,147
88,20,154,60
100,16,137,146
93,100,131,137
93,22,131,132
72,53,57,123
33,39,43,46
1,0,141,38
114,1,27,141
31,112,35,26
1,107,141,29
86,96,18,106
105,117,75,80
117,106,80,171
117,7,80,87
22,118,132,133
118,47,133,121
119,46,32,31
119,120,32,108
120,75,108,28
28,121,129,125
121,11,125,116
38,91,120,62
91,90,62,68
122,62,48,111
32,123,42,47
123,122,47,48
98,124,168,78
124,2,78,173
34,125,130,167
125,98,167,168
126,17,70,71
127,126,157,70
2,128,173,172
128,127,172,157
17,129,71,159
129,87,159,69
34,28,130,129
130,72,49,57
118,131,133,51
131,130,51,49
72,132,57,55
132,65,55,115
22,133,132,44
133,119,44,32
120,134,108,109
134,71,109,105
121,135,125,126
135,101,126,39
39,136,46,45
136,59,45,122
37,42,33,107
137,86,0,18
35,138,98,100
138,137,100,0
139,60,11,8
140,139,12,11
141,140,15,12
42,142,107,20
142,141,20,15
,,91,3
,,6,5
,,102,9
,,97,14
,,20,19
,,24,21
,,39,37
,,123,59
,,58,61
,,153,64
,,153,65
,,167,73
,,172,83
,,55,114
,,136,124
,,51,127
,,137,140
,,143,145
,,60,151
,,82,164
,,78,170
,,36,34
,,49,128
,,159,158
,,70,153
,,155,163
,,150,152
,,160,165
,,8,4
,,15,95
,,14,99
,,48,56
,,33,113
,,47,50
,,36,41
,,37,40
,,150,79
,,82,161
,,69,162
,,165,166
,,168,63
,,80,169
,,2,92
,,91,90
,,4,97
,,97,96
,,11,94
,,103,101
,,103,13
,,148,149
,,166,85
,,173,86
,,87,88
,,2,1
,,6,2
,,12,6
,,7,93
,,14,16
,,99,104
,,18,103
,,25,17
,,55,54
,,58,52
,,25,23
,,24,10
,,34,22
,,41,30
,,29,25
,,134,139
,,139,136
,,145,144
,,38,143
,,146,138
,,139,150
,,68,77
,,155,160
,,117,81
,,160,82
,,63,66
,,157,76
,,166,89
,,172,84
