v0,v1
0,83
1,202
2,
3,44
4,30
5,212
6,
7,32
8,192
9,72
10,210
11,
12,82
13,107
14,58
15,
16,57
17,191
18,93
19,106
20,103
21,122
22,
23,
24,
25,
26,223
27,176
28,
29,185
30,
31,
32,216
33,116
34,115
35,28
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,207
46,159
47,43
48,37
49,196
50,
51,
52,
53,
54,
55,
56,121
57,
58,112
59,
60,21
61,
62,80
63,70
64,
65,183
66,
67,
68,53
69,
70,64
71,69
72,
73,
74,160
75,168
76,39
77,6
78,157
79,
80,129
81,34
82,161
83,130
84,227
85,
86,
87,26
88,151
89,61
90,
91,
92,20
93,179
94,16
95,79
96,147
97,98
98,184
99,55
100,
101,66
102,88
103,135
104,
105,46
106,150
107,162
108,140
109,38
110,109
111,42
112,153
113,73
114,86
115,158
116,91
117,149
118,60
119,63
120,145
121,68
122,65
123,144
124,139
125,52
126,131
127,132
128,11
129,10
130,110
131,119
132,219
133,204
134,213
135,41
136,171
137,177
,0
,1
,2
,3
,4
,5
,7
,8
,9
,12
,13
,14
,15
,17
,18
,19
,22
,23
,24
,25
,27
,29
,31
,33
,35
,36
,40
,45
,47
,48
,49
,50
,51
,54
,56
,59
,62
,67
,71
,74
,75
,76
,77
,78
,81
,84
,85
,87
,89
,90
,92
,94
,95
,96
,97
,99
,100
,101
,102
,104
,105
,108
,111
,113
,114
,117
,118
,120
,123
,124
,125
,126
,127
,128
,133
,134
,136
,137
,138
,141
,142
,143
,146
,148
,152
,154
,155
,156
,163
,164
,165
,166
,167
,169
,170
,172
,173
,174
,175
,178
,180
,181
,182
,186
,187
,188
,189
,190
,193
,194
,195
,197
,198
,199
,200
,201
,203
,205
,206
,208
,209
,211
,214
,215
,217
,218
,220
,221
,222
,224
,225
,226
