v0,v1
0,
1,
2,
3,166
4,
5,15
6,135
7,13
8,
9,180
10,46
11,169
12,186
13,
14,4
15,
16,
17,115
18,179
19,173
20,26
21,153
22,43
23,155
24,
25,156
26,73
27,136
28,
29,50
30,
31,
32,183
33,2
34,151
35,
36,178
37,
38,152
39,88
40,
41,147
42,76
43,142
44,7
45,
46,
47,119
48,14
49,29
50,59
51,
52,
53,
54,36
55,
56,108
57,106
58,19
59,16
60,
61,56
62,107
63,47
64,23
65,
66,
67,139
68,120
69,
70,92
71,
72,82
73,94
74,
75,75
76,
77,58
78,
79,161
80,
81,
82,70
83,174
84,66
85,109
86,
87,
88,62
89,91
90,38
91,65
92,182
93,63
94,
95,48
96,35
97,44
98,25
99,121
100,42
101,
102,116
103,
104,49
105,
106,141
107,
108,
109,45
110,137
111,
112,124
113,51
114,126
115,72
116,
117,100
118,149
119,
120,177
121,52
122,
123,189
124,31
125,
126,190
127,32
128,54
129,157
130,87
131,41
132,145
133,131
134,17
135,154
136,168
137,150
138,69
139,158
140,89
141,97
142,133
143,80
144,84
145,86
146,83
147,148
148,143
149,144
150,162
151,146
152,163
153,68
154,67
155,39
156,30
157,22
158,134
,0
,1
,3
,5
,6
,8
,9
,10
,11
,12
,18
,20
,21
,24
,27
,28
,33
,34
,37
,40
,53
,55
,57
,60
,61
,64
,71
,74
,77
,78
,79
,81
,85
,90
,93
,95
,96
,98
,99
,101
,102
,103
,104
,105
,110
,111
,112
,113
,114
,117
,118
,122
,123
,125
,127
,128
,129
,130
,132
,138
,140
,159
,160
,164
,165
,167
,170
,171
,172
,175
,176
,181
,184
,185
,187
,188
